barra	utm_x	utm_y
Bmi_3550	-466324684	-235285974
Bmi_3545	-466324688	-235285974
Bmi_3544	-466375896	-235303023
B_8827	-466254782	-235254297
B_8826	-466251226	-235254158
B_8825	-466241151	-235254436
B_8824	-466240966	-235254444
B_8823	-466232055	-235254800
B_8822	-466231942	-235254711
B_8821	-466231495	-235249381
B_8820	-466231805	-235243868
B_8819	-466231490	-235249210
B_8817	-466231737	-235243774
B_8816	-466256728	-235257594
B_8815	-466254893	-235254369
B_8814	-466375954	-235302852
B_8813	-466375896	-235303023
B_8812	-466376115	-235302233
B_8811	-466376816	-235291247
B_8810	-466374323	-235291956
B_8809	-466368601	-235286673
B_8808	-466369884	-235289475
B_8807	-466369884	-235289477
B_8806	-466370671	-235291204
B_8805	-466370701	-235291268
B_8804	-466371455	-235292793
B_8803	-466285208	-235273412
B_8802	-466285190	-235273272
B_8801	-466285598	-235261654
B_8800	-466256795	-235257631
B_8799	-466256793	-235257562
B_8798	-466256790	-235257477
B_8797	-466256776	-235257024
B_8796	-466263523	-235259571
B_8795	-466260890	-235259327
B_8794	-466259140	-235259165
B_8793	-466257362	-235259000
B_8792	-466257326	-235258973
B_8791	-466256851	-235258614
B_8790	-466256801	-235257794
B_8789	-466256797	-235257716
B_8788	-466284055	-235264666
B_8787	-466282644	-235267323
B_8786	-466282642	-235267329
B_8785	-466281759	-235269256
B_8784	-466281748	-235269279
B_8783	-466281213	-235270169
B_8782	-466281209	-235270177
B_8781	-466280643	-235271344
B_8780	-466280636	-235271358
B_8779	-466280455	-235271719
B_8778	-466280376	-235271875
B_8777	-466279680	-235273264
B_8776	-466278448	-235275541
B_8775	-466277313	-235277781
B_8774	-466277298	-235277809
B_8773	-466276030	-235280135
B_8772	-466269575	-235260125
B_8771	-466266984	-235259892
B_8770	-466266980	-235259892
B_8769	-466359967	-235295991
B_8768	-466360771	-235298397
B_8767	-466360772	-235298400
B_8766	-466361162	-235299562
B_8765	-466358221	-235296256
B_8764	-466356949	-235296572
B_8763	-466356947	-235296573
B_8762	-466354704	-235297137
B_8761	-466353045	-235297606
B_8760	-466353043	-235297606
B_8759	-466351580	-235297983
B_8758	-466350116	-235298359
B_8757	-466350113	-235298360
B_8756	-466348553	-235298737
B_8755	-466348551	-235298738
B_8754	-466346601	-235299299
B_8753	-466346600	-235299300
B_8752	-466344259	-235299956
B_8751	-466344257	-235299956
B_8750	-466342992	-235300331
B_8749	-466342988	-235300331
B_8748	-466361649	-235300975
B_8747	-466361496	-235300542
B_8746	-466359897	-235299775
B_8745	-466361491	-235300525
B_8744	-466386023	-235288948
B_8743	-466382523	-235289794
B_8742	-466381413	-235289975
B_8741	-466324679	-235285974
B_8740	-466298269	-235283829
B_8739	-466296786	-235284218
B_8738	-466296658	-235284250
B_8737	-466363726	-235306950
B_8736	-466363724	-235306943
B_8735	-466363329	-235305799
B_8734	-466362923	-235304629
B_8733	-466364376	-235309074
B_8732	-466364801	-235310287
B_8731	-466365363	-235311918
B_8730	-466365761	-235313295
B_8728	-466379163	-235282084
B_8727	-466299505	-235292562
B_8726	-466296090	-235293591
B_8725	-466320345	-235287387
B_8724	-466351443	-235277621
B_8723	-466352397	-235277339
B_8722	-466291768	-235294764
B_8721	-466290343	-235295286
B_8720	-466311201	-235285892
B_8719	-466311116	-235285650
B_8717	-466323637	-235286186
B_8716	-466323791	-235286258
B_8715	-466329165	-235284381
B_8714	-466334661	-235282729
B_8713	-466339113	-235281587
B_8712	-466339841	-235295377
B_8711	-466339811	-235295360
B_8710	-466343561	-235303492
B_8709	-466343555	-235303473
B_8708	-466344329	-235306083
B_8707	-466345323	-235309264
B_8706	-466352209	-235285688
B_8705	-466279262	-235261029
B_8704	-466277617	-235260872
B_8703	-466276380	-235260754
B_8702	-466274643	-235260589
B_8701	-466272876	-235260421
B_8700	-466283940	-235287531
B_8699	-466283384	-235287674
B_8698	-466281822	-235288142
B_8697	-466279771	-235288615
B_8696	-466277324	-235288729
B_8695	-466277722	-235289177
B_8694	-466280025	-235283529
B_8693	-466278759	-235285916
