rede;barra;vnom_kv;utm_x;utm_y;rede_id;barra_id;
CAI  0109;Bmi_3550;1.38E+001;-466324684;-235285974;3268;1;
CAI  0109;Bmi_3545;1.38E+001;-466324688;-235285974;3268;2;
CAI  0109;Bmi_3544;1.38E+001;-466375896;-235303023;3268;3;
CAI  0109;B_8827;1.38E+001;-466254782;-235254297;3268;4;
CAI  0109;B_8826;1.38E+001;-466251226;-235254158;3268;5;
CAI  0109;B_8825;1.38E+001;-466241151;-235254436;3268;6;
CAI  0109;B_8824;1.38E+001;-466240966;-235254444;3268;7;
CAI  0109;B_8823;1.38E+001;-466232055;-235254800;3268;8;
CAI  0109;B_8822;1.38E+001;-466231942;-235254711;3268;9;
CAI  0109;B_8821;1.38E+001;-466231495;-235249381;3268;10;
CAI  0109;B_8820;1.38E+001;-466231805;-235243868;3268;11;
CAI  0109;B_8819;1.38E+001;-466231490;-235249210;3268;12;
CAI  0109;B_8817;1.38E+001;-466231737;-235243774;3268;13;
CAI  0109;B_8816;1.38E+001;-466256728;-235257594;3268;14;
CAI  0109;B_8815;1.38E+001;-466254893;-235254369;3268;15;
CAI  0109;B_8814;1.38E+001;-466375954;-235302852;3268;16;
CAI  0109;B_8813;1.38E+001;-466375896;-235303023;3268;17;
CAI  0109;B_8812;1.38E+001;-466376115;-235302233;3268;18;
CAI  0109;B_8811;1.38E+001;-466376816;-235291247;3268;19;
CAI  0109;B_8810;1.38E+001;-466374323;-235291956;3268;20;
CAI  0109;B_8809;1.38E+001;-466368601;-235286673;3268;21;
CAI  0109;B_8808;1.38E+001;-466369884;-235289475;3268;22;
CAI  0109;B_8807;1.38E+001;-466369884;-235289477;3268;23;
CAI  0109;B_8806;1.38E+001;-466370671;-235291204;3268;24;
CAI  0109;B_8805;1.38E+001;-466370701;-235291268;3268;25;
CAI  0109;B_8804;1.38E+001;-466371455;-235292793;3268;26;
CAI  0109;B_8803;1.38E+001;-466285208;-235273412;3268;27;
CAI  0109;B_8802;1.38E+001;-466285190;-235273272;3268;28;
CAI  0109;B_8801;1.38E+001;-466285598;-235261654;3268;29;
CAI  0109;B_8800;1.38E+001;-466256795;-235257631;3268;30;
CAI  0109;B_8799;1.38E+001;-466256793;-235257562;3268;31;
CAI  0109;B_8798;1.38E+001;-466256790;-235257477;3268;32;
CAI  0109;B_8797;1.38E+001;-466256776;-235257024;3268;33;
CAI  0109;B_8796;1.38E+001;-466263523;-235259571;3268;34;
CAI  0109;B_8795;1.38E+001;-466260890;-235259327;3268;35;
CAI  0109;B_8794;1.38E+001;-466259140;-235259165;3268;36;
CAI  0109;B_8793;1.38E+001;-466257362;-235259000;3268;37;
CAI  0109;B_8792;1.38E+001;-466257326;-235258973;3268;38;
CAI  0109;B_8791;1.38E+001;-466256851;-235258614;3268;39;
CAI  0109;B_8790;1.38E+001;-466256801;-235257794;3268;40;
CAI  0109;B_8789;1.38E+001;-466256797;-235257716;3268;41;
CAI  0109;B_8788;1.38E+001;-466284055;-235264666;3268;42;
CAI  0109;B_8787;1.38E+001;-466282644;-235267323;3268;43;
CAI  0109;B_8786;1.38E+001;-466282642;-235267329;3268;44;
CAI  0109;B_8785;1.38E+001;-466281759;-235269256;3268;45;
CAI  0109;B_8784;1.38E+001;-466281748;-235269279;3268;46;
CAI  0109;B_8783;1.38E+001;-466281213;-235270169;3268;47;
CAI  0109;B_8782;1.38E+001;-466281209;-235270177;3268;48;
CAI  0109;B_8781;1.38E+001;-466280643;-235271344;3268;49;
CAI  0109;B_8780;1.38E+001;-466280636;-235271358;3268;50;
CAI  0109;B_8779;1.38E+001;-466280455;-235271719;3268;51;
CAI  0109;B_8778;1.38E+001;-466280376;-235271875;3268;52;
CAI  0109;B_8777;1.38E+001;-466279680;-235273264;3268;53;
CAI  0109;B_8776;1.38E+001;-466278448;-235275541;3268;54;
CAI  0109;B_8775;1.38E+001;-466277313;-235277781;3268;55;
CAI  0109;B_8774;1.38E+001;-466277298;-235277809;3268;56;
CAI  0109;B_8773;1.38E+001;-466276030;-235280135;3268;57;
CAI  0109;B_8772;1.38E+001;-466269575;-235260125;3268;58;
CAI  0109;B_8771;1.38E+001;-466266984;-235259892;3268;59;
CAI  0109;B_8770;1.38E+001;-466266980;-235259892;3268;60;
CAI  0109;B_8769;1.38E+001;-466359967;-235295991;3268;61;
CAI  0109;B_8768;1.38E+001;-466360771;-235298397;3268;62;
CAI  0109;B_8767;1.38E+001;-466360772;-235298400;3268;63;
CAI  0109;B_8766;1.38E+001;-466361162;-235299562;3268;64;
CAI  0109;B_8765;1.38E+001;-466358221;-235296256;3268;65;
CAI  0109;B_8764;1.38E+001;-466356949;-235296572;3268;66;
CAI  0109;B_8763;1.38E+001;-466356947;-235296573;3268;67;
CAI  0109;B_8762;1.38E+001;-466354704;-235297137;3268;68;
CAI  0109;B_8761;1.38E+001;-466353045;-235297606;3268;69;
CAI  0109;B_8760;1.38E+001;-466353043;-235297606;3268;70;
CAI  0109;B_8759;1.38E+001;-466351580;-235297983;3268;71;
CAI  0109;B_8758;1.38E+001;-466350116;-235298359;3268;72;
CAI  0109;B_8757;1.38E+001;-466350113;-235298360;3268;73;
CAI  0109;B_8756;1.38E+001;-466348553;-235298737;3268;74;
CAI  0109;B_8755;1.38E+001;-466348551;-235298738;3268;75;
CAI  0109;B_8754;1.38E+001;-466346601;-235299299;3268;76;
CAI  0109;B_8753;1.38E+001;-466346600;-235299300;3268;77;
