
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"3326.1"           ,    0.00000,  5.04723E+0004,  5.08068E+0004
"3326.2"           ,    0.00000,  5.04396E+0004,  5.08068E+0004
"3326.3"           ,    0.00000,  5.04467E+0004,  5.08068E+0004
"2645.1"           ,    0.00000,  7.92154E+0003,  7.96743E+0003
"2645.2"           ,    0.00000,  7.92024E+0003,  7.96743E+0003
"2645.3"           ,    0.00000,  7.91393E+0003,  7.96743E+0003
"3323.1"           ,    0.00000,  7.92166E+0003,  7.96743E+0003
"3323.2"           ,    0.00000,  7.92034E+0003,  7.96743E+0003
"3323.3"           ,    0.00000,  7.91404E+0003,  7.96743E+0003
"2221.1"           ,    0.00000,  7.92185E+0003,  7.96743E+0003
"2221.2"           ,    0.00000,  7.92053E+0003,  7.96743E+0003
"2221.3"           ,    0.00000,  7.91397E+0003,  7.96743E+0003
"3312.1"           ,    0.00000,  7.89713E+0003,  7.96743E+0003
"3312.2"           ,    0.00000,  7.89205E+0003,  7.96743E+0003
"3312.3"           ,    0.00000,  7.89042E+0003,  7.96743E+0003
"3324.1"           ,    0.00000,  7.89713E+0003,  7.96743E+0003
"3324.2"           ,    0.00000,  7.89205E+0003,  7.96743E+0003
"3324.3"           ,    0.00000,  7.89042E+0003,  7.96743E+0003
"927.1"            ,    0.00000,  7.89708E+0003,  7.96743E+0003
"927.2"            ,    0.00000,  7.89199E+0003,  7.96743E+0003
"927.3"            ,    0.00000,  7.89035E+0003,  7.96743E+0003
"1972.1"           ,    0.00000,  7.89714E+0003,  7.96743E+0003
"1972.2"           ,    0.00000,  7.89203E+0003,  7.96743E+0003
"1972.3"           ,    0.00000,  7.89043E+0003,  7.96743E+0003
"13.1"             ,    0.00000,  7.89687E+0003,  7.96743E+0003
"13.2"             ,    0.00000,  7.89163E+0003,  7.96743E+0003
"13.3"             ,    0.00000,  7.89015E+0003,  7.96743E+0003
