
BUSES AND NODES IN ACTIVE CIRCUIT: cmc-01p3

                                Coord                                 Number of     Nodes
  Bus      Base kV             (x, y)                      Keep?       Nodes        connected ...

"19991" 138.000          (           NA,            NA )     No           3          1    2    3 
"19990"  13.800          ( 6050150      , 8458112      )     No           3          1    2    3 
"6023"   13.800          ( 6050187      , 8458121      )     No           3          1    2    3 
"6065"   13.800          ( 6050161      , 8458109      )     No           3          1    2    3 
"6022"   13.800          ( 6050175      , 8458139      )     No           3          1    2    3 
"6025"   13.800          ( 6050191      , 8458159      )     No           3          1    2    3 
"6024"   13.800          ( 6050214      , 8458178      )     No           3          1    2    3 
"4215"   13.800          ( 6050237      , 8458205      )     No           3          1    2    3 
"4216"   13.800          ( 6050285      , 8458180      )     No           3          1    2    3 
"6039"   13.800          ( 6050314      , 8458169      )     No           3          1    2    3 
"6038"   13.800          ( 6050312      , 8458140      )     No           3          1    2    3 
"6037"   13.800          ( 6050299      , 8458109      )     No           3          1    2    3 
"6036"   13.800          ( 6050294      , 8458078      )     No           3          1    2    3 
"6035"   13.800          ( 6050289      , 8458047      )     No           3          1    2    3 
"6034"   13.800          ( 6050281      , 8458019      )     No           3          1    2    3 
"6033"   13.800          ( 6050273      , 8457985      )     No           3          1    2    3 
"6032"   13.800          ( 6050257      , 8457947      )     No           3          1    2    3 
"6031"   13.800          ( 6050252      , 8457921      )     No           3          1    2    3 
"6030"   13.800          ( 6050242      , 8457895      )     No           3          1    2    3 
"6029"   13.800          ( 6050248      , 8457860      )     No           3          1    2    3 
"6028"   13.800          ( 6050240      , 8457810      )     No           3          1    2    3 
"6027"   13.800          ( 6050249      , 8457779      )     No           3          1    2    3 
"6026"   13.800          ( 6050229      , 8457771      )     No           3          1    2    3 
"6048"   13.800          ( 6050223      , 8457729      )     No           3          1    2    3 
"4197"   13.800          ( 6050229      , 8457734      )     No           3          1    2    3 
"6057"   13.800          ( 6050168      , 8457688      )     No           3          1    2    3 
"6056"   13.800          ( 6050155      , 8457661      )     No           3          1    2    3 
"6055"   13.800          ( 6050132      , 8457630      )     No           3          1    2    3 
"6054"   13.800          ( 6050114      , 8457605      )     No           3          1    2    3 
