
Elements in Active Circuit: rede_cai_teste_sem_trafos

Power Delivery Elements

Element                          Bus1 Bus2 Bus3 ...

"Line.12465653_ID5719"           2645 3323 
"Line.12465646_ID4662"           2221 3323 
"Line.361598283_ID6421"          3312 3324 
"Line.363434473_ID6207"          3324 927  
"Line.363434188_ID5983"          1972 3324 
"Line.361598269_ID5059"          3324 13   
"Line.361598276_ID4187"          436  3324 
"Line.363434459_ID3365"          3324 1100 
"Line.12465652_ID6367"           3247 3325 
"Line.12465654_ID5411"           2922 3325 
"Line.12465633_ID5720"           2648 2645 
"Line.12465631_ID4663"           2223 2221 
"Line.12465658_ID6208"           927  928  
"Line.12465648_ID5984"           1972 1973 
"Line.12465656_ID3366"           1100 1101 
"Line.12465627_ID6368"           3247 3248 
"Line.12465632_ID5412"           2922 2924 
"Line.12465599_ID5721"           2647 2648 
"Line.12465600_ID4664"           2222 2223 
"Line.363435145_ID6422"          3311 3312 
"Line.12465658_ID6209"           929  928  
"Line.12465628_ID5985"           1973 1975 
"Line.363435121_ID5060"          13   12   
"Line.363435071_ID4188"          436  434  
"Line.12465630_ID3367"           1101 1103 
"Line.12465594_ID6369"           3248 3249 
"Line.12465603_ID5413"           2923 2924 
"Line.12465599_ID5722"           2646 2647 
"Line.12465600_ID4665"           2227 2222 
"Line.12465629_ID6210"           931  929  
"Line.12465596_ID5986"           1975 1974 
"Line.12465602_ID3368"           1102 1103 
"Line.12465586_ID6370"           3249 3269 
"Line.12465603_ID5414"           2926 2923 
"Line.12465599_ID5723"           2646 2649 
"Line.12465589_ID4666"           2226 2227 
"Line.363435311_ID6423"          3309 3311 
"Line.12465598_ID6211"           930  931  
"Line.12465596_ID5987"           1974 1978 
"Line.363435153_ID5061"          12   9    
"Line.363435303_ID4189"          432  434  
"Line.12465602_ID3369"           1102 1106 
"Line.12465588_ID5415"           2925 2926 
"Line.12465584_ID5724"           2649 2835 
"Line.12465589_ID4667"           2225 2226 
"Line.12465598_ID6212"           930  934  
"Line.12465587_ID5988"           1977 1978 
"Line.12465590_ID3370"           1105 1106 
"Line.5675047_ID6371"            3267 3269 
"Line.12465638_ID5416"           2925 3029 
"Line.12465589_ID4668"           2224 2225 
"Line.363438455_ID6424"          3306 3309 
"Line.12465597_ID6213"           933  934  
"Line.12465587_ID5989"           1977 1976 
"Line.363435319_ID5062"          9    7    
"Line.363438448_ID4190"          431  432  
"Line.12465590_ID3371"           1105 1104 
"Line.5675058_ID6372"            3266 3267 
"Line.5675059_ID6373"            3264 3267 
"Line.5674994_ID5725"            2833 2835 
"Line.12465589_ID4669"           2224 2228 
"Line.12465597_ID6214"           932  933  
"Line.12465587_ID5990"           1980 1976 
"Line.12465590_ID3372"           1104 1108 
"Line.5675058_ID6374"            3265 3266 
"Line.5675532_ID5417"            3029 3034 
"Line.5675005_ID5726"            2832 2833 
"Line.5675006_ID5727"            2823 2833 
"Line.12460924_ID4670"           2228 2285 
"Line.363438468_ID6425"          3306 3304 
"Line.12465597_ID6215"           936  932  
"Line.12461017_ID5991"           1979 1980 
"Line.363439152_ID5063"          5    7    
"Line.363439161_ID4191"          431  428  
"Line.12461016_ID3373"           1107 1108 
"Line.5675058_ID6375"            3265 3277 
"Line.5675530_ID5418"            3033 3034 
"Line.5675531_ID5419"            3031 3034 
"Line.5675005_ID5728"            2831 2832 
"Line.363438468_ID6426"          3304 3303 
"Line.12461015_ID6216"           935  936  
"Line.12461018_ID5992"           1979 1981 
"Line.363443284_ID5064"          4    5    
"Line.363443292_ID4192"          428  425  
"Line.12461020_ID3374"           1107 1109 
"Line.5675027_ID6376"            3279 3277 
"Line.5675530_ID5420"            3032 3033 
"Line.5675828_ID5421"            3017 3031 
"Line.5675829_ID5422"            3031 3016 
"Line.5675005_ID5729"            2830 2831 
"Line.5667238_ID4671"            2285 2292 
"Line.12461019_ID6217"           935  938  
"Line.12460927_ID5993"           1981 1998 
"Line.12460929_ID3375"           1109 1160 
"Line.5675026_ID6377"            3278 3279 
"Line.363825500_ID6378"          3257 3279 
"Line.5675829_ID5423"            3015 3016 
"Line.5675005_ID5730"            2830 2829 
"Line.5667225_ID4672"            2291 2292 
"Line.5667226_ID4673"            2286 2292 
"Line.12460997_ID6218"           1016 938  
"Line.357366308_ID5065"          14   4    
"Line.363439174_ID4193"          425  426  
"Line.5675026_ID6379"            3278 3283 
"Line.363825500_ID6380"          3256 3257 
"Line.5676155_ID5424"            3014 3015 
"Line.5676156_ID5425"            3013 3015 
"Line.5675005_ID5731"            2828 2829 
"Line.5667225_ID4674"            2290 2291 
"Line.5667354_ID4675"            2286 2283 
"Line.5667355_ID4676"            2282 2286 
"Line.5667268_ID5994"            1998 2000 
"Line.5667300_ID3376"            1158 1160 
"Line.5675012_ID6381"            3283 3282 
"Line.5675013_ID6382"            3283 3281 
"Line.363313797_ID6383"          3263 3283 
"Line.363825500_ID6384"          3256 3255 
"Line.5676509_ID5426"            3011 3014 
"Line.5676510_ID5427"            3014 3009 
"Line.5676212_ID5428"            3013 3012 
"Line.5675005_ID5732"            2827 2828 
"Line.5667225_ID4677"            2290 2294 
"Line.5667664_ID6219"            1014 1016 
"Line.5667260_ID5995"            2000 1999 
"Line.5667261_ID5996"            2000 2003 
"Line.363039876_ID5066"          40   14   
"Line.363663319_ID5067"          30   14   
"Line.359531326_ID4194"          572  426  
"Line.363663835_ID4195"          540  426  
"Line.5667301_ID3377"            1157 1158 
"Line.5667302_ID3378"            1162 1158 
"Line.5675013_ID6385"            3280 3281 
"Line.363313797_ID6386"          3262 3263 
"Line.5676509_ID5429"            3010 3011 
"Line.5676510_ID5430"            3008 3009 
"Line.5675005_ID5733"            2826 2827 
"Line.5666143_ID4678"            2293 2294 
