"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 894, 0.942438070981703, 0, 0.970001042336704, 1963, 3259, 0, 1.05, 0, 0.95, , 
2, 792, 0.94321703545288, 0, 0.970423091646486, 1963, 3259, 0, 1.05, 0, 0.95, , 
3, 703, 0.94409512565061, 0, 0.970632483780168, 1963, 3259, 0, 1.05, 0, 0.95, , 
4, 701, 0.944790877259684, 0, 0.970835258943258, 1963, 3259, 0, 1.05, 0, 0.95, , 
5, 684, 0.944972736892244, 0, 0.970841910700842, 1960, 3259, 0, 1.05, 0, 0.95, , 
6, 965, 0.942460498188495, 0, 0.969005026225976, 1960, 3259, 0, 1.05, 0, 0.95, , 
7, 1571, 0.935939388589358, 0, 0.965287685617997, 1963, 3259, 0, 1.05, 0, 0.95, , 
8, 2466, 0.926793332036118, 0, 0.960061537493597, 1963, 3259, 0, 1.05, 0, 0.95, , 
9, 3001, 0.912806002515639, 0, 0.951843891258065, 1963, 3259, 0, 1.05, 0, 0.95, , 
10, 3001, 0.91057603474865, 0, 0.951748609418555, 527, 3259, 0, 1.05, 0, 0.95, , 
11, 3002, 0.901876814709245, 0, 0.95, 1963, , 0, 1.05, 0, 0.95, , 
12, 3002, 0.901258447424592, 0, 0.95, 1963, , 0, 1.05, 0, 0.95, , 
13, 3002, 0.902047204117562, 0, 0.95, 1963, , 0, 1.05, 0, 0.95, , 
14, 3002, 0.902473133253115, 0, 0.95, 1963, , 0, 1.05, 0, 0.95, , 
15, 3002, 0.903131846164824, 0, 0.95, 1963, , 0, 1.05, 0, 0.95, , 
16, 3002, 0.904423179877641, 0, 0.95, 1963, , 0, 1.05, 0, 0.95, , 
17, 3002, 0.908367866281294, 0, 0.950031634300635, 1963, 3259, 0, 1.05, 0, 0.95, , 
18, 3001, 0.911318697139348, 0, 0.951466455488947, 1963, 3259, 0, 1.05, 0, 0.95, , 
19, 3001, 0.912747909704702, 0, 0.951694033064819, 527, 3259, 0, 1.05, 0, 0.95, , 
20, 2991, 0.916923674100818, 0, 0.954529911995294, 1963, 3259, 0, 1.05, 0, 0.95, , 
21, 2466, 0.925137919965611, 0, 0.95959706581027, 1963, 3259, 0, 1.05, 0, 0.95, , 
22, 1695, 0.932920245698326, 0, 0.964474905376275, 1963, 3259, 0, 1.05, 0, 0.95, , 
23, 1170, 0.938643040184698, 0, 0.967969245199087, 1963, 3259, 0, 1.05, 0, 0.95, , 
24, 1006, 0.941603825409966, 0, 0.96942780430196, 1963, 3259, 0, 1.05, 0, 0.95, , 
