
Elements in Active Circuit: rede_cai_teste_sem_trafos_ajustada

Power Delivery Elements

Element                          Bus1 Bus2 Bus3 ...

"Line.12465653_ID5630"           2645 3256 
"Line.12465646_ID4573"           2221 3256 
"Line.363434473_ID6118"          3257 927  
"Line.363434188_ID5894"          1972 3257 
"Line.361598269_ID4970"          13   3257 
"Line.361598276_ID4098"          3257 436  
"Line.363434459_ID3276"          3257 1100 
"Line.12465654_ID5322"           2922 3258 
"Line.12465633_ID5631"           2645 2648 
"Line.12465631_ID4574"           2221 2223 
"Line.12465658_ID6119"           927  928  
"Line.12465648_ID5895"           1972 1973 
"Line.12465656_ID3277"           1100 1101 
"Line.12465632_ID5323"           2924 2922 
"Line.12465599_ID5632"           2647 2648 
"Line.12465600_ID4575"           2222 2223 
"Line.12465658_ID6120"           929  928  
"Line.12465628_ID5896"           1973 1975 
"Line.363435121_ID4971"          13   12   
"Line.363435071_ID4099"          434  436  
"Line.12465630_ID3278"           1101 1103 
"Line.12465603_ID5324"           2923 2924 
"Line.12465599_ID5633"           2646 2647 
"Line.12465600_ID4576"           2222 2227 
"Line.12465629_ID6121"           929  931  
"Line.12465596_ID5897"           1975 1974 
"Line.12465602_ID3279"           1102 1103 
"Line.12465603_ID5325"           2923 2926 
"Line.12465599_ID5634"           2649 2646 
"Line.12465589_ID4577"           2226 2227 
"Line.12465598_ID6122"           930  931  
"Line.12465596_ID5898"           1974 1978 
"Line.363435153_ID4972"          12   9    
"Line.363435303_ID4100"          432  434  
"Line.12465602_ID3280"           1102 1106 
"Line.12465588_ID5326"           2925 2926 
"Line.12465584_ID5635"           2649 2835 
"Line.12465589_ID4578"           2225 2226 
"Line.12465598_ID6123"           930  934  
"Line.12465587_ID5899"           1977 1978 
"Line.12465590_ID3281"           1105 1106 
"Line.12465638_ID5327"           2925 3029 
"Line.12465589_ID4579"           2224 2225 
"Line.12465597_ID6124"           934  933  
"Line.12465587_ID5900"           1976 1977 
"Line.363435319_ID4973"          9    7    
"Line.363438448_ID4101"          432  431  
"Line.12465590_ID3282"           1105 1104 
"Line.5674994_ID5636"            2833 2835 
"Line.12465589_ID4580"           2228 2224 
"Line.12465597_ID6125"           933  932  
"Line.12465587_ID5901"           1976 1980 
"Line.12465590_ID3283"           1104 1108 
"Line.5675532_ID5328"            3029 3034 
"Line.5675005_ID5637"            2832 2833 
"Line.5675006_ID5638"            2823 2833 
"Line.12460924_ID4581"           2228 2285 
"Line.12465597_ID6126"           932  936  
"Line.12461017_ID5902"           1979 1980 
"Line.363439152_ID4974"          7    5    
"Line.363439161_ID4102"          428  431  
"Line.12461016_ID3284"           1107 1108 
"Line.5675530_ID5329"            3033 3034 
"Line.5675531_ID5330"            3034 3031 
"Line.5675005_ID5639"            2831 2832 
"Line.12461015_ID6127"           935  936  
"Line.12461018_ID5903"           1979 1981 
"Line.363443284_ID4975"          4    5    
"Line.363443292_ID4103"          425  428  
"Line.12461020_ID3285"           1107 1109 
"Line.5675530_ID5331"            3032 3033 
"Line.5675828_ID5332"            3017 3031 
"Line.5675829_ID5333"            3016 3031 
"Line.5675005_ID5640"            2830 2831 
"Line.5667238_ID4582"            2285 2292 
"Line.12461019_ID6128"           938  935  
"Line.12460927_ID5904"           1981 1998 
"Line.12460929_ID3286"           1109 1160 
"Line.5675829_ID5334"            3015 3016 
"Line.5675005_ID5641"            2829 2830 
"Line.5667225_ID4583"            2291 2292 
"Line.5667226_ID4584"            2286 2292 
"Line.12460997_ID6129"           1016 938  
"Line.357366308_ID4976"          14   4    
"Line.363439174_ID4104"          426  425  
"Line.5676155_ID5335"            3014 3015 
"Line.5676156_ID5336"            3013 3015 
"Line.5675005_ID5642"            2829 2828 
"Line.5667225_ID4585"            2290 2291 
"Line.5667354_ID4586"            2283 2286 
"Line.5667355_ID4587"            2282 2286 
"Line.5667268_ID5905"            2000 1998 
"Line.5667300_ID3287"            1158 1160 
"Line.5676509_ID5337"            3011 3014 
"Line.5676510_ID5338"            3009 3014 
"Line.5676212_ID5339"            3012 3013 
"Line.5675005_ID5643"            2827 2828 
"Line.5667225_ID4588"            2290 2294 
"Line.5667664_ID6130"            1014 1016 
"Line.5667260_ID5906"            1999 2000 
"Line.5667261_ID5907"            2000 2003 
"Line.363039876_ID4977"          40   14   
"Line.363663319_ID4978"          14   30   
"Line.359531326_ID4105"          572  426  
"Line.363663835_ID4106"          540  426  
"Line.5667301_ID3288"            1157 1158 
"Line.5667302_ID3289"            1162 1158 
"Line.5676509_ID5340"            3011 3010 
"Line.5676510_ID5341"            3008 3009 
"Line.5675005_ID5644"            2826 2827 
"Line.5666143_ID4589"            2293 2294 
"Line.5667225_ID4590"            2294 2289 
"Line.5667680_ID6131"            1013 1014 
"Line.5667681_ID6132"            1014 1010 
"Line.5667051_ID5908"            2003 2005 
"Line.363039876_ID4979"          40   39   
"Line.363663319_ID4980"          30   31   
"Line.359530394_ID4107"          572  580  
"Line.363663835_ID4108"          540  539  
"Line.5667301_ID3290"            1157 1156 
"Line.5667203_ID3291"            1161 1162 
"Line.5667302_ID3292"            1155 1162 
"Line.5681229_ID5342"            2999 3010 
"Line.5675005_ID5645"            2826 2825 
"Line.5667225_ID4591"            2289 2288 
"Line.5667680_ID6133"            1013 1012 
"Line.5667698_ID6134"            1009 1013 
"Line.5666936_ID5909"            2004 2005 
"Line.5667051_ID5910"            2002 2005 
"Line.363039876_ID4981"          39   38   
"Line.363663319_ID4982"          32   31   
"Line.102369750_ID4109"          579  580  
"Line.363663835_ID4110"          538  539  
"Line.5667302_ID3293"            1155 1170 
"Line.5681229_ID5343"            2998 2999 
"Line.5680987_ID5344"            3004 3008 
"Line.5675005_ID5646"            2825 2824 
"Line.5667225_ID4592"            2288 2296 
