
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3259     48,69          0    0,01196    0,02456 3,305E-009 6,788E-009
2645     7,611          0   0,001644     0,0216  0,001304   0,01714
3256     7,614          0   0,001612    0,02118  0,001261   0,01656
2221     7,613          0   0,001615    0,02121   0,00128   0,01682
3257     7,551          0   0,004194    0,05554  0,002534   0,03356
927       7,55          0   0,004201    0,05564  0,002588   0,03428
1972      7,55          0   0,004207    0,05572  0,002544   0,03369
13        7,55          0   0,004187    0,05546  0,002507    0,0332
436      7,549          0   0,004179    0,05536  0,002494   0,03304
1100     7,549          0   0,004209    0,05575  0,002568   0,03401
2922     7,602          0   0,001602    0,02107 0,0003673  0,004832
3258     7,605          0   0,001606    0,02112 0,0003553  0,004673
2648     7,609          0   0,001667    0,02191  0,001336   0,01756
2223     7,612          0   0,001617    0,02124  0,001295   0,01701
928      7,549          0   0,004237    0,05613  0,002647   0,03507
1973      7,55          0   0,004222    0,05593  0,002555   0,03384
1101     7,548          0   0,004226    0,05598  0,002606   0,03452
2924       7,6          0   0,001597    0,02101 0,0003801  0,005002
2647     7,602          0   0,001753    0,02306   0,00145   0,01907
2222      7,61          0   0,001626    0,02136  0,001348   0,01772
929      7,549          0    0,00424    0,05617  0,002652   0,03513
1975      7,55          0   0,004244    0,05622   0,00257   0,03405
12       7,547          0   0,004169    0,05524  0,002431   0,03222
434      7,543          0    0,00414    0,05489  0,002382   0,03158
1103     7,546          0    0,00425    0,05632   0,00266   0,03525
2923     7,592          0    0,00158    0,02082 0,0004283  0,005641
2646     7,601          0   0,001772    0,02331  0,001475    0,0194
2227     7,609          0   0,001627    0,02138  0,001353   0,01779
931      7,548          0   0,004294     0,0569  0,002739   0,03629
1974     7,548          0   0,004325     0,0573   0,00263   0,03484
1102     7,538          0   0,004346    0,05765   0,00286   0,03794
2926     7,591          0   0,001578    0,02079 0,0004346  0,005726
2649     7,599          0   0,001798    0,02366  0,001508   0,01985
2226     7,606          0    0,00164    0,02156  0,001417   0,01862
930      7,542          0     0,0045    0,05966  0,003057   0,04053
1978     7,548          0   0,004331    0,05738  0,002634    0,0349
9        7,544          0   0,004152    0,05504  0,002356   0,03123
432      7,537          0   0,004104    0,05445  0,002271   0,03013
1106     7,537          0   0,004366    0,05793  0,002901   0,03848
2925     7,587          0   0,001571    0,02071 0,0004566  0,006018
2835     7,599          0   0,001799    0,02367   0,00151   0,01987
2225     7,603          0    0,00166    0,02183  0,001491   0,01961
934      7,541          0    0,00454     0,0602  0,003116   0,04132
1977     7,546          0   0,004423    0,05861  0,002703   0,03582
1105     7,528          0   0,004491    0,05965  0,003138   0,04168
3029     7,587          0   0,001571    0,02071 0,0004572  0,006027
2224     7,601          0   0,001668    0,02194  0,001518   0,01997
933      7,534          0   0,004807    0,06381  0,003504    0,0465
1976     7,543          0    0,00453    0,06005  0,002784   0,03691
7         7,54          0   0,004129    0,05476  0,002241   0,02972
431      7,528          0   0,004054    0,05385    0,0021    0,0279
1104     7,518          0   0,004644    0,06178   0,00341   0,04536
2833     7,599          0     0,0018    0,02369  0,001511   0,01989
2228       7,6          0   0,001679    0,02209  0,001552   0,02042
932      7,527          0   0,005125    0,06809   0,00394   0,05235
1980     7,542          0   0,004568    0,06056  0,002813   0,03729
1108     7,515          0   0,004701    0,06256  0,003506   0,04665
3034     7,587          0   0,001571    0,02071 0,0004579  0,006035
2832     7,598          0    0,00181    0,02383  0,001533   0,02017
2823     7,599          0     0,0018    0,02369  0,001511   0,01989
2285       7,6          0   0,001679     0,0221  0,001554   0,02044
