
LINE-GROUND and LINE-LINE VOLTAGES BY BUS & NODE

Bus  Node    VLN (kV)   Angle      pu     Base kV    Node-Node   VLL (kV)  Angle      pu

3259 1       48,677 /_   -3,6         0     0,000        1-2     84,307 /_   26,4         0
   - 2       48,684 /_ -123,6         0     0,000        2-3     84,343 /_  -93,6         0
   - 3       48,698 /_  116,4         0     0,000        3-1     84,331 /_  146,4         0
2645 1       7,6125 /_  -34,4         0     0,000        1-2     13,183 /_   -4,4         0
   - 2       7,6087 /_ -154,4         0     0,000        2-3     13,181 /_ -124,4         0
   - 3       7,6128 /_   85,6         0     0,000        3-1     13,186 /_  115,6         0
3256 1       7,6151 /_  -34,4         0     0,000        1-2     13,187 /_   -4,4         0
   - 2       7,6115 /_ -154,4         0     0,000        2-3     13,186 /_ -124,4         0
   - 3       7,6154 /_   85,6         0     0,000        3-1      13,19 /_  115,6         0
2221 1       7,6141 /_  -34,4         0     0,000        1-2     13,186 /_   -4,4         0
   - 2       7,6105 /_ -154,4         0     0,000        2-3     13,184 /_ -124,4         0
   - 3       7,6144 /_   85,6         0     0,000        3-1     13,189 /_  115,6         0
3257 1         7,55 /_  -35,5         0     0,000        1-2     13,072 /_   -5,4         0
   - 2       7,5495 /_ -155,4         0     0,000        2-3     13,078 /_ -125,4         0
   - 3       7,5527 /_   84,6         0     0,000        3-1     13,085 /_  114,6         0
927  1       7,5496 /_  -35,5         0     0,000        1-2     13,071 /_   -5,4         0
   - 2       7,5492 /_ -155,4         0     0,000        2-3     13,077 /_ -125,4         0
   - 3       7,5523 /_   84,6         0     0,000        3-1     13,084 /_  114,6         0
1972 1       7,5497 /_  -35,5         0     0,000        1-2     13,072 /_   -5,4         0
   - 2       7,5492 /_ -155,4         0     0,000        2-3     13,077 /_ -125,4         0
   - 3       7,5524 /_   84,6         0     0,000        3-1     13,084 /_  114,6         0
13 . 1        7,549 /_  -35,5         0     0,000        1-2      13,07 /_   -5,4         0
   - 2       7,5485 /_ -155,4         0     0,000        2-3     13,076 /_ -125,4         0
   - 3       7,5517 /_   84,6         0     0,000        3-1     13,083 /_  114,6         0
436  1        7,548 /_  -35,5         0     0,000        1-2     13,069 /_   -5,4         0
   - 2       7,5474 /_ -155,4         0     0,000        2-3     13,074 /_ -125,4         0
   - 3       7,5506 /_   84,6         0     0,000        3-1     13,081 /_  114,6         0
1100 1       7,5487 /_  -35,5         0     0,000        1-2      13,07 /_   -5,4         0
   - 2       7,5483 /_ -155,4         0     0,000        2-3     13,076 /_ -125,4         0
   - 3       7,5514 /_   84,6         0     0,000        3-1     13,082 /_  114,6         0
2922 1       7,6031 /_  -34,1         0     0,000        1-2     13,166 /_   -4,1         0
   - 2       7,6005 /_ -154,1         0     0,000        2-3     13,167 /_ -124,1         0
   - 3       7,6036 /_   85,9         0     0,000        3-1     13,171 /_  115,9         0
3258 1       7,6052 /_  -34,1         0     0,000        1-2      13,17 /_   -4,1         0
   - 2       7,6026 /_ -154,1         0     0,000        2-3     13,171 /_ -124,1         0
   - 3       7,6058 /_   85,9         0     0,000        3-1     13,174 /_  115,9         0
2648 1       7,6105 /_  -34,4         0     0,000        1-2     13,179 /_   -4,4         0
   - 2       7,6067 /_ -154,4         0     0,000        2-3     13,178 /_ -124,4         0
